Date,Open,High,Low,Close,Volume
2025-01-24,198.1000,200.9000,198.0000,200.2100,23877521
2025-01-23,198.1400,200.3000,195.2000,197.9800,26951357
2025-01-22,199.0600,200.4800,197.5300,198.3700,26200617
2025-01-21,199.0700,202.2900,197.8700,198.0500,29971292
2025-01-17,196.5300,197.2300,193.7500,196.0000,27735089
2025-01-16,194.1400,195.4800,192.8100,192.9100,17815432
2025-01-15,193.0900,196.3600,191.8600,195.5500,21775969
2025-01-14,191.2400,191.9800,188.3082,189.6600,17174854
2025-01-13,190.0700,191.1800,187.3600,191.0100,21823699
2025-01-10,194.2950,196.5200,190.3100,192.0400,26665206
2025-01-08,192.5700,196.2900,192.3800,193.9500,24864766
2025-01-07,197.1100,201.0000,194.6000,195.4900,26487244
2025-01-06,193.9800,198.2222,193.8500,196.8700,29563638
2025-01-03,191.3700,193.2100,189.9750,191.7900,18596159
2025-01-02,190.6500,192.0000,187.5000,189.4300,20370828
2024-12-31,191.0750,191.9600,188.5100,189.3000,17466919
2024-12-30,189.8000,192.5500,189.1200,191.2400,14264659
2024-12-27,194.9500,195.3200,190.6500,192.7600,18891362
2024-12-26,195.1500,196.7480,194.3750,195.6000,12057210
2024-12-24,194.8400,196.1100,193.7800,196.1100,10403259
2024-12-23,192.6200,195.1000,190.1500,194.6300,25675014
2024-12-20,185.7800,192.8900,185.2200,191.4100,63462934
2024-12-19,191.6250,193.0300,188.3800,188.5100,32265241
2024-12-18,195.2200,197.0000,187.7400,188.4000,34166074
2024-12-17,197.2500,201.4200,194.9800,195.4200,43504025
2024-12-16,192.8700,199.0000,192.6200,196.6600,44934901
2024-12-13,191.0100,192.7300,189.6400,189.8200,25143495
2024-12-12,195.0000,195.1800,191.7100,191.9600,34817486
2024-12-11,185.3100,195.6100,184.8500,195.4000,67894071
2024-12-10,182.8450,186.3600,181.0500,185.1700,54813022
2024-12-09,173.9600,176.2600,173.6500,175.3700,25389631
2024-12-06,172.0300,175.0800,171.8600,174.7100,21462393
