Description,Qty,Price,Total
Bakery,1,1000,1000
Shopping Mall,1,4000,4000
Restaurant,5,200,1000
Books,1,500,500
Groceries,1,1000,1000
Reliance Smart,1,4000,4000
Netflix Subscription,5,200,1000
Movie,1,500,500
Credit Card Payment,1,1000,1000
Payment to Mohd,1,4000,4000
Bill Payment,5,200,1000
Hotel Stay,1,500,500
Hospital,1,1000,1000
Air tickets to US,1,4000,4000
Handbag,5,200,1000
Clothes,1,500,500
Amazon pvt ltd,1,1000,1000
Payment to Vegetable Vendor,1,4000,4000
TAX,5,200,6000
Reliance Fresh,1,500,500
Amazon,1,1000,1000
Prime Video,1,4000,4000
Drug store,5,200,1000
Reliance Fresh,1,500,500
